trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
118,False,"{'a': 0.1, 'e': 0.9824474999999999}",25,0,-160.23555585262378,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
119,False,"{'a': 0.1, 'e': 0.98215}",35,18,-35.49544153181854,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
120,False,"{'a': 0.1, 'e': 0.98185}",20,0,-178.26944094372033,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
121,False,"{'a': 0.1, 'e': 0.9815475}",25,0,-136.5998279794447,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
122,False,"{'a': 0.1, 'e': 0.9812425}",30,0,-186.62591727048448,"{0: 14, 1: 5, 2: 8, 3: 1, 4: 2}",0
123,False,"{'a': 0.1, 'e': 0.980935}",25,0,-163.4829709754503,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
124,False,"{'a': 0.1, 'e': 0.980625}",20,0,-110.14399342933625,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
125,False,"{'a': 0.1, 'e': 0.9803124999999999}",30,0,-192.5348416863706,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
126,False,"{'a': 0.1, 'e': 0.9799975}",20,0,-64.55304306248877,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
127,False,"{'a': 0.1, 'e': 0.97968}",20,0,-149.163391084263,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
128,False,"{'a': 0.1, 'e': 0.97936}",20,4,-107.66839803704866,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 2}",1
129,False,"{'a': 0.1, 'e': 0.9790375}",25,0,-133.29645146384198,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
130,False,"{'a': 0.1, 'e': 0.9787125}",25,0,-25.445630037711048,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
131,False,"{'a': 0.1, 'e': 0.978385}",25,0,-133.58044558200703,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
132,False,"{'a': 0.1, 'e': 0.9780549999999999}",25,0,-164.6468741107205,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
133,False,"{'a': 0.1, 'e': 0.9777224999999999}",20,0,-79.74341162792435,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
134,False,"{'a': 0.1, 'e': 0.9773875}",25,8,-60.07572353405193,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
135,False,"{'a': 0.1, 'e': 0.97705}",20,0,-119.05750481728938,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
136,False,"{'a': 0.1, 'e': 0.97671}",25,0,-106.0063303393082,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
137,False,"{'a': 0.1, 'e': 0.9763674999999999}",35,0,-243.10073640536035,"{0: 19, 1: 6, 2: 6, 3: 0, 4: 4}",0
138,False,"{'a': 0.1, 'e': 0.9760224999999999}",20,0,-97.3638113496327,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
139,False,"{'a': 0.1, 'e': 0.975675}",25,9,5.291013332960057,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.1, 'e': 0.975325}",20,0,-115.96425224930279,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
141,False,"{'a': 0.1, 'e': 0.9749725}",25,0,-113.49650298728636,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
142,False,"{'a': 0.1, 'e': 0.9746175}",25,5,-38.03973246095086,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",1
143,False,"{'a': 0.1, 'e': 0.97426}",20,0,-130.36849902484065,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
144,False,"{'a': 0.1, 'e': 0.9739}",25,0,-136.56089504955017,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
145,False,"{'a': 0.1, 'e': 0.9735375}",25,0,-92.98484666278789,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
146,False,"{'a': 0.1, 'e': 0.9731725}",25,0,-113.44842399413125,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
